text,count,name
bit,13,Matthew
experience,13,Matthew
enjoyed,13,Matthew
place,13,Matthew
recommend,12,Matthew
id,12,Matthew
fresh,12,Matthew
certainly,12,Matthew
well,12,Matthew
fried,12,Matthew
street,12,Matthew
excellent,11,Matthew
quite,11,Matthew
city,11,Matthew
pizza,11,Matthew
place,91,Matthew
good,69,Matthew
food,59,Matthew
like,39,Matthew
nice,36,Matthew
st,36,Matthew
louis,36,Matthew
better,32,Matthew
think,32,Matthew
menu,31,Matthew
great,23,Matthew
restaurant,22,Matthew
pretty,21,Matthew
try,20,Matthew
area,18,Matthew
