text,count,name
food,32,Michael
like,29,Michael
cheese,27,Michael
stars,26,Michael
beer,24,Michael
good,24,Michael
philadelphia,23,Michael
dont,22,Michael
bar,20,Michael
downtown,18,Michael
time,18,Michael
pasta,17,Michael
fresh,17,Michael
burger,17,Michael
night,17,Michael
better,16,Michael
pork,16,Michael
hotel,16,Michael
wasnt,15,Michael
love,15,Michael
service,14,Michael
bad,14,Michael
menu,14,Michael
french,14,Michael
small,14,Michael
im,14,Michael
market,13,Michael
drinks,13,Michael
3,13,Michael
local,13,Michael
good,16,Michael
food,11,Michael
great,10,Michael
well,9,Michael
pretty,9,Michael
big,7,Michael
cheese,7,Michael
made,6,Michael
nice,6,Michael
dont,6,Michael
way,6,Michael
make,6,Michael
really,6,Michael
like,6,Michael
burger,6,Michael
id,5,Michael
shrimp,5,Michael
location,5,Michael
pleasant,5,Michael
bit,5,Michael
service,5,Michael
chicken,5,Michael
atmosphere,4,Michael
experience,4,Michael
coming,4,Michael
im,4,Michael
places,4,Michael
place,4,Michael
restaurant,4,Michael
perfect,4,Michael
