text,count,name
place,81,Michelangelo
great,65,Michelangelo
good,59,Michelangelo
came,45,Michelangelo
food,36,Michelangelo
got,33,Michelangelo
night,33,Michelangelo
menu,31,Michelangelo
service,30,Michelangelo
time,26,Michelangelo
well,25,Michelangelo
table,25,Michelangelo
people,22,Michelangelo
like,22,Michelangelo
inside,22,Michelangelo
wait,21,Michelangelo
bar,21,Michelangelo
bit,20,Michelangelo
order,20,Michelangelo
nice,19,Michelangelo
crowded,18,Michelangelo
parking,18,Michelangelo
area,17,Michelangelo
excellent,16,Michelangelo
seated,16,Michelangelo
outside,16,Michelangelo
restaurant,16,Michelangelo
lunch,16,Michelangelo
lot,15,Michelangelo
line,15,Michelangelo
