text,count,name
bar,64,MICHELLE
breakfast,61,MICHELLE
id,59,MICHELLE
cheese,58,MICHELLE
didnt,54,MICHELLE
made,54,MICHELLE
much,54,MICHELLE
im,50,MICHELLE
eat,49,MICHELLE
ordered,49,MICHELLE
bit,48,MICHELLE
service,48,MICHELLE
pretty,47,MICHELLE
philly,46,MICHELLE
city,46,MICHELLE
pretty,21,MICHELLE
good,21,MICHELLE
nice,18,MICHELLE
crab,14,MICHELLE
well,13,MICHELLE
food,12,MICHELLE
flavor,12,MICHELLE
sweet,11,MICHELLE
cheese,11,MICHELLE
really,10,MICHELLE
much,10,MICHELLE
menu,10,MICHELLE
drinks,9,MICHELLE
pie,9,MICHELLE
chocolate,9,MICHELLE
