text,count,name
music,11,Monica
many,9,Monica
service,9,Monica
good,8,Monica
nashville,8,Monica
rock,7,Monica
food,7,Monica
bit,7,Monica
point,6,Monica
place,6,Monica
like,6,Monica
country,6,Monica
location,5,Monica
course,5,Monica
time,5,Monica
youre,5,Monica
dont,5,Monica
might,5,Monica
experience,5,Monica
visited,4,Monica
mix,4,Monica
next,4,Monica
terrific,4,Monica
two,4,Monica
cafe,4,Monica
definitely,4,Monica
back,4,Monica
city,4,Monica
restaurant,4,Monica
meal,4,Monica
pasta,2,Monica
pork,2,Monica
lunch,2,Monica
made,2,Monica
truly,2,Monica
normally,2,Monica
pizza,2,Monica
im,2,Monica
prompt,2,Monica
meat,2,Monica
line,2,Monica
place,2,Monica
accommodating,2,Monica
occasions,2,Monica
different,2,Monica
place,8,Monica
love,7,Monica
philly,6,Monica
loved,4,Monica
service,4,Monica
restaurant,4,Monica
french,3,Monica
like,3,Monica
say,3,Monica
bar,3,Monica
people,3,Monica
first,3,Monica
food,3,Monica
cousin,3,Monica
sf,3,Monica
