text,count,name
came,10,PatrickJ
could,10,PatrickJ
new,10,PatrickJ
ordered,9,PatrickJ
perfect,9,PatrickJ
much,9,PatrickJ
great,9,PatrickJ
lot,9,PatrickJ
two,9,PatrickJ
made,8,PatrickJ
something,8,PatrickJ
long,8,PatrickJ
better,8,PatrickJ
home,8,PatrickJ
kid,8,PatrickJ
place,14,PatrickJ
nice,9,PatrickJ
like,7,PatrickJ
cheese,7,PatrickJ
philly,6,PatrickJ
steak,5,PatrickJ
brother,5,PatrickJ
food,4,PatrickJ
got,4,PatrickJ
well,4,PatrickJ
judgement,4,PatrickJ
order,4,PatrickJ
decided,4,PatrickJ
good,4,PatrickJ
great,4,PatrickJ
