text,count,name
good,443,Peter
really,415,Peter
food,388,Peter
delicious,311,Peter
menu,267,Peter
like,267,Peter
tasty,253,Peter
great,247,Peter
shrimp,241,Peter
back,239,Peter
since,238,Peter
time,218,Peter
im,214,Peter
got,206,Peter
service,197,Peter
salad,191,Peter
bar,185,Peter
staff,184,Peter
restaurant,177,Peter
love,176,Peter
definitely,172,Peter
space,161,Peter
still,158,Peter
place,156,Peter
lunch,153,Peter
bit,152,Peter
maybe,152,Peter
location,149,Peter
last,148,Peter
fried,145,Peter
