text,count,name
foods,2,Rachel
already,2,Rachel
gluten,1,Rachel
free,1,Rachel
expo,1,Rachel
2014,1,Rachel
vancouver,1,Rachel
familiar,1,Rachel
product,1,Rachel
line,1,Rachel
guys,1,Rachel
gf,1,Rachel
extra,1,Rachel
house,1,Rachel
carries,1,Rachel
brand,1,Rachel
buy,1,Rachel
reasonably,1,Rachel
priced,1,Rachel
pancake,1,Rachel
saw,1,Rachel
mix,1,Rachel
w,13,Rachel
good,7,Rachel
nice,5,Rachel
shrimp,5,Rachel
got,5,Rachel
came,4,Rachel
pretty,4,Rachel
crab,4,Rachel
lunch,4,Rachel
back,4,Rachel
side,4,Rachel
say,4,Rachel
loved,4,Rachel
something,4,Rachel
salmon,10,Rachel
sushi,8,Rachel
place,7,Rachel
yellowtail,7,Rachel
roll,6,Rachel
good,6,Rachel
much,5,Rachel
brophy,5,Rachel
ordered,5,Rachel
side,5,Rachel
street,5,Rachel
came,5,Rachel
brothers,5,Rachel
fresh,5,Rachel
fish,5,Rachel
really,4,Rachel
around,4,Rachel
seating,4,Rachel
coffee,4,Rachel
wasnt,4,Rachel
state,4,Rachel
great,4,Rachel
hashbrowns,4,Rachel
food,4,Rachel
