text,count,name
gayle,55,Ramona
nice,47,Ramona
time,45,Ramona
good,41,Ramona
food,38,Ramona
service,34,Ramona
place,29,Ramona
enjoyed,27,Ramona
back,22,Ramona
friends,21,Ramona
area,18,Ramona
work,18,Ramona
breakfast,18,Ramona
like,18,Ramona
im,18,Ramona
meal,18,Ramona
beer,17,Ramona
little,17,Ramona
come,17,Ramona
well,17,Ramona
dinner,16,Ramona
friendly,16,Ramona
really,16,Ramona
around,16,Ramona
experience,15,Ramona
long,15,Ramona
comfortable,15,Ramona
table,15,Ramona
lunch,15,Ramona
first,15,Ramona
