text,count,name
good,61,Realtor Karl
place,45,Realtor Karl
great,44,Realtor Karl
like,39,Realtor Karl
theres,37,Realtor Karl
food,36,Realtor Karl
fried,29,Realtor Karl
pretty,29,Realtor Karl
went,27,Realtor Karl
chicken,27,Realtor Karl
back,27,Realtor Karl
probably,25,Realtor Karl
best,25,Realtor Karl
came,25,Realtor Karl
pork,21,Realtor Karl
sandwich,21,Realtor Karl
got,21,Realtor Karl
beer,20,Realtor Karl
seating,20,Realtor Karl
two,20,Realtor Karl
meal,20,Realtor Karl
didnt,20,Realtor Karl
first,20,Realtor Karl
