text,count,name
like,340,Rebekah
food,254,Rebekah
im,242,Rebekah
time,234,Rebekah
menu,216,Rebekah
visit,180,Rebekah
order,167,Rebekah
find,159,Rebekah
two,154,Rebekah
next,153,Rebekah
love,153,Rebekah
side,150,Rebekah
delicious,149,Rebekah
cheese,143,Rebekah
fresh,142,Rebekah
great,140,Rebekah
place,140,Rebekah
good,138,Rebekah
service,131,Rebekah
youre,128,Rebekah
bar,127,Rebekah
well,126,Rebekah
back,125,Rebekah
experience,123,Rebekah
soup,123,Rebekah
know,122,Rebekah
chicken,122,Rebekah
could,122,Rebekah
new,121,Rebekah
fun,119,Rebekah
