text,count,name
got,375,Richard
4,369,Richard
5,340,Richard
better,338,Richard
old,320,Richard
really,317,Richard
nice,287,Richard
delicious,284,Richard
stars,281,Richard
ok,281,Richard
bar,280,Richard
well,272,Richard
year,263,Richard
order,259,Richard
try,255,Richard
food,16,Richard
bf,14,Richard
ordered,13,Richard
new,12,Richard
orleans,12,Richard
good,9,Richard
bar,9,Richard
shrimp,8,Richard
like,7,Richard
really,7,Richard
gumbo,6,Richard
wanted,6,Richard
didnt,6,Richard
hotel,6,Richard
since,6,Richard
