text,count,name
w,111,Rob
like,45,Rob
time,43,Rob
veggie,35,Rob
nice,32,Rob
cheese,29,Rob
got,26,Rob
sauce,26,Rob
place,26,Rob
could,25,Rob
good,24,Rob
back,24,Rob
mr,23,Rob
made,23,Rob
coffee,23,Rob
come,23,Rob
creamy,22,Rob
another,21,Rob
2,20,Rob
table,20,Rob
way,20,Rob
taste,19,Rob
dinner,19,Rob
didnt,19,Rob
really,19,Rob
bread,19,Rob
dish,19,Rob
french,19,Rob
sweet,18,Rob
best,18,Rob
cake,11,Rob
called,10,Rob
bakery,6,Rob
chris,6,Rob
call,6,Rob
restaurant,5,Rob
delivered,5,Rob
gm,5,Rob
service,4,Rob
received,4,Rob
dinner,4,Rob
horner,3,Rob
closed,3,Rob
reservations,3,Rob
make,3,Rob
hadnt,3,Rob
offer,3,Rob
birthdays,3,Rob
three,3,Rob
offered,3,Rob
got,3,Rob
delivery,3,Rob
didnt,2,Rob
broke,2,Rob
7,2,Rob
pm,2,Rob
reservation,2,Rob
placed,2,Rob
order,2,Rob
name,2,Rob
like,12,Rob
pizza,12,Rob
best,11,Rob
place,10,Rob
chicken,9,Rob
good,9,Rob
bit,9,Rob
trip,8,Rob
got,8,Rob
friend,7,Rob
pretty,7,Rob
sweet,7,Rob
wait,7,Rob
2,7,Rob
actually,6,Rob
stl,6,Rob
ok,6,Rob
dish,6,Rob
around,6,Rob
dont,6,Rob
able,6,Rob
people,6,Rob
bbq,6,Rob
know,6,Rob
deep,6,Rob
night,6,Rob
sandwich,6,Rob
little,6,Rob
fries,6,Rob
meat,6,Rob
well,283,Rob
menu,279,Rob
happy,277,Rob
try,275,Rob
definitely,274,Rob
options,267,Rob
tried,254,Rob
dont,254,Rob
came,252,Rob
first,249,Rob
service,243,Rob
area,241,Rob
didnt,240,Rob
different,237,Rob
perfect,233,Rob
place,30,Rob
good,24,Rob
food,22,Rob
went,20,Rob
pretty,19,Rob
definitely,18,Rob
overall,18,Rob
bit,18,Rob
great,15,Rob
decided,14,Rob
really,14,Rob
flavor,12,Rob
came,12,Rob
decent,11,Rob
ordered,11,Rob
