text,count,name
quite,23,Samantha
w,22,Samantha
two,21,Samantha
went,21,Samantha
well,19,Samantha
cheese,18,Samantha
good,18,Samantha
nashville,17,Samantha
lot,16,Samantha
could,16,Samantha
im,16,Samantha
street,16,Samantha
salad,16,Samantha
big,16,Samantha
dont,15,Samantha
line,26,Samantha
food,26,Samantha
bottom,22,Samantha
service,21,Samantha
building,16,Samantha
market,14,Samantha
really,14,Samantha
restaurant,13,Samantha
great,13,Samantha
cheese,13,Samantha
pats,13,Samantha
good,13,Samantha
friendly,12,Samantha
genos,12,Samantha
beer,11,Samantha
