text,count,name
posttax,15,Shaji
definitely,15,Shaji
fried,15,Shaji
great,14,Shaji
outside,14,Shaji
cheese,14,Shaji
chicken,14,Shaji
around,13,Shaji
much,13,Shaji
like,13,Shaji
meat,13,Shaji
lot,12,Shaji
recommend,12,Shaji
people,11,Shaji
pricey,11,Shaji
good,942,Shaji
great,602,Shaji
service,515,Shaji
food,515,Shaji
pretty,452,Shaji
chicken,438,Shaji
sauce,374,Shaji
definitely,363,Shaji
flavorful,360,Shaji
like,323,Shaji
tender,311,Shaji
decent,289,Shaji
fresh,271,Shaji
solid,270,Shaji
although,250,Shaji
