text,count,name
ordered,16,Shannon
two,16,Shannon
nice,16,Shannon
like,15,Shannon
went,14,Shannon
bacon,14,Shannon
wait,14,Shannon
order,13,Shannon
took,13,Shannon
great,13,Shannon
ribs,13,Shannon
breakfast,12,Shannon
busy,12,Shannon
inside,12,Shannon
food,12,Shannon
chicken,12,Shannon
seating,11,Shannon
outside,11,Shannon
staff,11,Shannon
bar,10,Shannon
super,10,Shannon
service,10,Shannon
fresh,1,Shannon
oven,1,Shannon
tried,1,Shannon
new,1,Shannon
pretzel,1,Shannon
nuggets,1,Shannon
tasted,1,Shannon
great,1,Shannon
great,4,Shannon
dont,4,Shannon
way,4,Shannon
thing,4,Shannon
didnt,4,Shannon
restaurant,4,Shannon
since,4,Shannon
went,4,Shannon
around,4,Shannon
delicious,4,Shannon
time,4,Shannon
reasonable,3,Shannon
philly,3,Shannon
ended,3,Shannon
employees,3,Shannon
place,12,Shannon
good,10,Shannon
fish,7,Shannon
food,7,Shannon
nice,7,Shannon
bar,7,Shannon
area,6,Shannon
open,6,Shannon
room,5,Shannon
worth,5,Shannon
definitely,5,Shannon
friendly,5,Shannon
overall,5,Shannon
small,5,Shannon
2,5,Shannon
