text,count,name
menu,31,Shayla
little,30,Shayla
experience,30,Shayla
marriott,30,Shayla
ribs,29,Shayla
nice,27,Shayla
room,27,Shayla
many,27,Shayla
steak,27,Shayla
crispy,26,Shayla
much,26,Shayla
sauce,26,Shayla
cheese,25,Shayla
dining,25,Shayla
hot,24,Shayla
flavor,1182,Shayla
good,1145,Shayla
food,1010,Shayla
like,956,Shayla
order,916,Shayla
side,913,Shayla
place,847,Shayla
review,835,Shayla
restaurant,718,Shayla
lunch,717,Shayla
ordered,716,Shayla
bit,701,Shayla
sauce,644,Shayla
time,637,Shayla
really,625,Shayla
