text,count,name
selection,39,Solomon
menu,36,Solomon
list,35,Solomon
local,33,Solomon
staff,32,Solomon
place,31,Solomon
really,28,Solomon
prices,28,Solomon
friendly,27,Solomon
ambiance,26,Solomon
yes,26,Solomon
inside,26,Solomon
small,25,Solomon
service,25,Solomon
great,25,Solomon
nice,24,Solomon
location,22,Solomon
full,21,Solomon
though,21,Solomon
chicken,20,Solomon
outstanding,20,Solomon
order,19,Solomon
sandwich,14,Solomon
shared,11,Solomon
best,11,Solomon
rate,10,Solomon
pork,10,Solomon
recommend,10,Solomon
stars,10,Solomon
yet,9,Solomon
