text,count,name
something,2,Stefan
walk,2,Stefan
building,2,Stefan
located,2,Stefan
small,2,Stefan
gelsons,2,Stefan
back,2,Stefan
renauds,2,Stefan
open,2,Stefan
hours,2,Stefan
dont,2,Stefan
shop,2,Stefan
early,2,Stefan
super,2,Stefan
woke,2,Stefan
good,131,Stefan
like,83,Stefan
great,79,Stefan
food,66,Stefan
though,62,Stefan
really,61,Stefan
lot,56,Stefan
flavor,52,Stefan
restaurant,49,Stefan
well,45,Stefan
nashville,40,Stefan
parking,39,Stefan
service,34,Stefan
chicken,32,Stefan
cream,32,Stefan
