text,count,name
restaurant,90,Stefanie
little,89,Stefanie
back,86,Stefanie
cheese,83,Stefanie
service,82,Stefanie
bar,82,Stefanie
went,81,Stefanie
ordered,80,Stefanie
made,76,Stefanie
though,76,Stefanie
well,74,Stefanie
served,73,Stefanie
meal,73,Stefanie
night,70,Stefanie
id,68,Stefanie
food,5,Stefanie
perfect,3,Stefanie
flowers,3,Stefanie
mine,3,Stefanie
style,3,Stefanie
great,2,Stefanie
awesome,2,Stefanie
love,2,Stefanie
loquita,2,Stefanie
crazy,2,Stefanie
totally,2,Stefanie
night,2,Stefanie
ham,2,Stefanie
fantastic,2,Stefanie
full,2,Stefanie
