text,count,name
theres,13,Stefany
east,13,Stefany
amazing,13,Stefany
burger,13,Stefany
2,13,Stefany
wife,13,Stefany
inside,12,Stefany
large,12,Stefany
small,12,Stefany
heres,11,Stefany
atmosphere,11,Stefany
restaurant,11,Stefany
cool,11,Stefany
bar,11,Stefany
youre,11,Stefany
great,44,Stefany
service,41,Stefany
well,39,Stefany
santa,33,Stefany
barbara,33,Stefany
food,31,Stefany
prices,28,Stefany
worth,26,Stefany
love,21,Stefany
area,20,Stefany
order,20,Stefany
really,19,Stefany
delicious,18,Stefany
location,17,Stefany
much,17,Stefany
