text,count,name
good,141,Steph
pho,112,Steph
restaurant,95,Steph
place,75,Steph
nice,57,Steph
like,50,Steph
time,50,Steph
service,46,Steph
pretty,46,Steph
experience,45,Steph
vietnamese,43,Steph
food,43,Steph
friends,43,Steph
well,41,Steph
philadelphia,38,Steph
local,32,Steph
since,32,Steph
around,31,Steph
city,31,Steph
marathon,31,Steph
got,31,Steph
didnt,30,Steph
friend,29,Steph
located,29,Steph
really,29,Steph
new,28,Steph
ordered,28,Steph
thats,28,Steph
although,27,Steph
stars,26,Steph
finding,10,Steph
meal,10,Steph
sandwich,8,Steph
wait,8,Steph
n,8,Steph
quite,7,Steph
chicken,7,Steph
order,7,Steph
bar,7,Steph
fried,7,Steph
steak,7,Steph
bread,7,Steph
casino,6,Steph
lunch,6,Steph
wine,6,Steph
minutes,6,Steph
sierra,6,Steph
food,6,Steph
cheese,6,Steph
tax,5,Steph
bacon,5,Steph
fries,5,Steph
egg,5,Steph
grand,5,Steph
friday,5,Steph
dinner,5,Steph
large,5,Steph
much,5,Steph
morning,4,Steph
soft,4,Steph
