text,count,name
pleasant,1,Stephanie
expected,1,Stephanie
turned,1,Stephanie
scoop,1,Stephanie
fish,1,Stephanie
sandwich,1,Stephanie
place,10,Stephanie
cheese,8,Stephanie
happy,8,Stephanie
came,8,Stephanie
hot,8,Stephanie
little,8,Stephanie
food,7,Stephanie
id,7,Stephanie
eggs,7,Stephanie
service,7,Stephanie
area,6,Stephanie
though,6,Stephanie
great,6,Stephanie
since,6,Stephanie
meal,6,Stephanie
really,6,Stephanie
much,6,Stephanie
sweet,5,Stephanie
give,5,Stephanie
dishes,5,Stephanie
perfect,5,Stephanie
tasty,5,Stephanie
probably,5,Stephanie
hour,5,Stephanie
