text,count,name
food,1403,Stephen
place,1162,Stephen
good,1114,Stephen
really,843,Stephen
like,696,Stephen
great,591,Stephen
bit,544,Stephen
bar,537,Stephen
nice,528,Stephen
better,527,Stephen
area,516,Stephen
service,495,Stephen
new,485,Stephen
much,478,Stephen
lunch,455,Stephen
menu,449,Stephen
many,442,Stephen
decent,387,Stephen
im,384,Stephen
eat,384,Stephen
location,369,Stephen
dont,361,Stephen
time,345,Stephen
restaurant,338,Stephen
still,337,Stephen
best,316,Stephen
seems,315,Stephen
probably,307,Stephen
places,302,Stephen
lot,301,Stephen
