text,count,name
good,101,Steve
really,74,Steve
like,73,Steve
place,70,Steve
food,66,Steve
great,56,Steve
pretty,55,Steve
service,48,Steve
dont,38,Steve
delicious,37,Steve
nice,35,Steve
hotel,34,Steve
fresh,34,Steve
served,32,Steve
time,32,Steve
know,32,Steve
wine,31,Steve
didnt,31,Steve
menu,31,Steve
everything,30,Steve
youre,30,Steve
order,30,Steve
im,30,Steve
much,29,Steve
wasnt,29,Steve
little,28,Steve
well,28,Steve
spicy,28,Steve
full,27,Steve
best,27,Steve
much,26,Steve
didnt,26,Steve
try,24,Steve
bit,24,Steve
spot,24,Steve
yummy,23,Steve
place,23,Steve
line,22,Steve
food,22,Steve
little,21,Steve
something,21,Steve
dont,21,Steve
think,21,Steve
around,20,Steve
meal,20,Steve
like,1061,Steve
stars,1024,Steve
im,723,Steve
food,707,Steve
definitely,652,Steve
time,640,Steve
really,618,Steve
place,520,Steve
dont,499,Steve
5,483,Steve
ordered,483,Steve
order,479,Steve
4,476,Steve
best,473,Steve
great,466,Steve
