text,count,name
outdoor,10,Tiffany
could,9,Tiffany
really,9,Tiffany
fried,9,Tiffany
come,9,Tiffany
dont,8,Tiffany
street,8,Tiffany
coffee,8,Tiffany
oysters,7,Tiffany
time,7,Tiffany
make,7,Tiffany
try,7,Tiffany
back,7,Tiffany
public,7,Tiffany
sauce,7,Tiffany
sure,7,Tiffany
ordered,7,Tiffany
market,7,Tiffany
sandwich,6,Tiffany
awesome,6,Tiffany
youre,6,Tiffany
thing,6,Tiffany
good,11,Tiffany
place,10,Tiffany
gumbo,10,Tiffany
food,9,Tiffany
really,9,Tiffany
ordered,9,Tiffany
eat,8,Tiffany
buffet,8,Tiffany
like,15,Tiffany
reno,15,Tiffany
place,14,Tiffany
pork,13,Tiffany
best,13,Tiffany
sandwich,11,Tiffany
flavorful,11,Tiffany
much,11,Tiffany
area,10,Tiffany
though,10,Tiffany
downtown,10,Tiffany
dont,10,Tiffany
okay,10,Tiffany
philly,9,Tiffany
overall,9,Tiffany
shrimp,25,Tiffany
good,24,Tiffany
stars,22,Tiffany
food,20,Tiffany
chicken,19,Tiffany
fried,17,Tiffany
service,16,Tiffany
best,14,Tiffany
great,12,Tiffany
like,11,Tiffany
came,10,Tiffany
sweet,10,Tiffany
eat,10,Tiffany
grits,10,Tiffany
dish,9,Tiffany
popped,3,Tiffany
best,3,Tiffany
favorite,3,Tiffany
hot,3,Tiffany
breakfast,3,Tiffany
yes,3,Tiffany
enough,3,Tiffany
hour,3,Tiffany
happy,3,Tiffany
bite,2,Tiffany
etoufee,2,Tiffany
definitely,2,Tiffany
cheap,2,Tiffany
bartenders,2,Tiffany
sipping,2,Tiffany
place,26,Tiffany
like,15,Tiffany
got,12,Tiffany
didnt,12,Tiffany
really,11,Tiffany
dont,10,Tiffany
salad,9,Tiffany
love,9,Tiffany
coffee,8,Tiffany
chicken,8,Tiffany
sushi,8,Tiffany
time,8,Tiffany
food,8,Tiffany
good,8,Tiffany
ordered,8,Tiffany
