text,count,name
ciders,1,Vincent
couple,1,Vincent
impressed,1,Vincent
im,1,Vincent
forgettable,1,Vincent
jars,1,Vincent
front,1,Vincent
bought,1,Vincent
oyster,1,Vincent
slow,1,Vincent
seem,1,Vincent
didnt,1,Vincent
service,1,Vincent
night,1,Vincent
late,1,Vincent
sauce,1,Vincent
hot,1,Vincent
potato,1,Vincent
fan,1,Vincent
thought,1,Vincent
bacon,1,Vincent
sandwich,1,Vincent
great,102,Vincent
food,65,Vincent
service,48,Vincent
place,47,Vincent
like,44,Vincent
time,35,Vincent
dont,35,Vincent
really,32,Vincent
