text,count,name
pizza,4,William
lunch,4,William
friends,3,William
home,3,William
quite,3,William
steph,3,William
kind,3,William
time,3,William
best,3,William
tacos,3,William
spicy,3,William
tasty,3,William
meatloaf,3,William
fresh,3,William
pretty,3,William
good,26,William
back,20,William
food,19,William
im,17,William
hotel,16,William
dinner,14,William
may,13,William
didnt,13,William
meal,13,William
much,13,William
time,12,William
bit,12,William
service,12,William
sushi,11,William
nashville,11,William
